LABELS
SEPARATOR TAB

DATA
Sulfitobacter_mediterraneus_2-84	Sulfitobacter_mediterraneus_2-84
Sulfitobacter_mediterraneus_2-85	Sulfitobacter_mediterraneus_2-85
Sulfitobacter_mediterraneus_2-86	Sulfitobacter_mediterraneus_2-86
Sulfitobacter_mediterraneus_2-87	Sulfitobacter_mediterraneus_2-87
Sulfitobacter_mediterraneus_2-88	Sulfitobacter_mediterraneus_2-88
Sulfitobacter_mediterraneus_4-12	Sulfitobacter_mediterraneus_4-12
Sulfitobacter_mediterraneus_4-15	Sulfitobacter_mediterraneus_4-15
Sulfitobacter_mediterraneus_4-16	Sulfitobacter_mediterraneus_4-16
Sulfitobacter_mediterraneus_4-3	Sulfitobacter_mediterraneus_4-3
Sulfitobacter_mediterraneus_4-34	Sulfitobacter_mediterraneus_4-34
Sulfitobacter_mediterraneus_4-35	Sulfitobacter_mediterraneus_4-35
Sulfitobacter_mediterraneus_4-36	Sulfitobacter_mediterraneus_4-36
Sulfitobacter_mediterraneus_4-37	Sulfitobacter_mediterraneus_4-37
Sulfitobacter_mediterraneus_4-38	Sulfitobacter_mediterraneus_4-38
Sulfitobacter_mediterraneus_4-39	Sulfitobacter_mediterraneus_4-39
Sulfitobacter_mediterraneus_4-4	Sulfitobacter_mediterraneus_4-4
Sulfitobacter_mediterraneus_4-42	Sulfitobacter_mediterraneus_4-42
Sulfitobacter_mediterraneus_4-47	Sulfitobacter_mediterraneus_4-47
Sulfitobacter_mediterraneus_4-48	Sulfitobacter_mediterraneus_4-48
Sulfitobacter_mediterraneus_4-5	Sulfitobacter_mediterraneus_4-5
Sulfitobacter_mediterraneus_4-6	Sulfitobacter_mediterraneus_4-6
Sulfitobacter_mediterraneus_4-7	Sulfitobacter_mediterraneus_4-7
Sulfitobacter_mediterraneus_4-8	Sulfitobacter_mediterraneus_4-8
Sulfitobacter_mediterraneus_4-9	Sulfitobacter_mediterraneus_4-9
Sulfitobacter_mediterraneus_5-10	Sulfitobacter_mediterraneus_5-10
Sulfitobacter_mediterraneus_5-11	Sulfitobacter_mediterraneus_5-11
Sulfitobacter_mediterraneus_5-12	Sulfitobacter_mediterraneus_5-12
Sulfitobacter_mediterraneus_5-13	Sulfitobacter_mediterraneus_5-13
Sulfitobacter_mediterraneus_5-14	Sulfitobacter_mediterraneus_5-14
Sulfitobacter_mediterraneus_5-15	Sulfitobacter_mediterraneus_5-15
Sulfitobacter_mediterraneus_5-16	Sulfitobacter_mediterraneus_5-16
Sulfitobacter_mediterraneus_5-3	Sulfitobacter_mediterraneus_5-3
Sulfitobacter_mediterraneus_5-41	Sulfitobacter_mediterraneus_5-41
Sulfitobacter_mediterraneus_5-42	Sulfitobacter_mediterraneus_5-42
Sulfitobacter_mediterraneus_5-43	Sulfitobacter_mediterraneus_5-43
Sulfitobacter_mediterraneus_5-44	Sulfitobacter_mediterraneus_5-44
Sulfitobacter_mediterraneus_5-45	Sulfitobacter_mediterraneus_5-45
Sulfitobacter_mediterraneus_5-46	Sulfitobacter_mediterraneus_5-46
Sulfitobacter_mediterraneus_5-48	Sulfitobacter_mediterraneus_5-48
Sulfitobacter_mediterraneus_5-5	Sulfitobacter_mediterraneus_5-5
Sulfitobacter_mediterraneus_5-7	Sulfitobacter_mediterraneus_5-7
Sulfitobacter_mediterraneus_5-8	Sulfitobacter_mediterraneus_5-8
Sulfitobacter_mediterraneus_5-9	Sulfitobacter_mediterraneus_5-9
Sulfitobacter_mediterraneus_7-10	Sulfitobacter_mediterraneus_7-10
Sulfitobacter_mediterraneus_7-17	Sulfitobacter_mediterraneus_7-17
Sulfitobacter_mediterraneus_7-25	Sulfitobacter_mediterraneus_7-25
Sulfitobacter_mediterraneus_7-26	Sulfitobacter_mediterraneus_7-26
Sulfitobacter_mediterraneus_7-27	Sulfitobacter_mediterraneus_7-27
Sulfitobacter_mediterraneus_7-33	Sulfitobacter_mediterraneus_7-33
